,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,72h TposRpos,1.0,-1.3862930662571347,3.669474000815767,7
1,72h TposRpos,0.5,24.205165545986674,15.204458137343549,15
2,72h TposRpos,0.2,43.77356489930769,15.181116956166482,13
3,72h TposRpos,0.8,1.401227121933336,4.818710340210319,6
0,72h TnegRpos,0.0,60.31399877466666,26.511156435835364,6
1,72h TnegRpos,0.5,27.661982729635717,11.378318833278673,14
2,72h TnegRpos,0.2,49.46269849921334,17.77942118865613,15
3,72h TnegRpos,0.8,10.173398448225004,4.877726604437787,8
