,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,48h control,1.0,31.3527214974625,13.354819642179345,8
1,48h control,0.8,100.46930467603333,32.372039913999096,6
2,48h control,0.5,177.83277796226665,72.1793697063155,6
3,48h control,0.2,213.97208275510002,74.59964906490895,7
4,48h control,0.0,106.4764338785125,44.8375112182623,16
0,48h PDO3,1.0,7.354309112749998,35.613905247587276,8
1,48h PDO3,0.8,32.45603491891249,10.13777049187233,8
2,48h PDO3,0.5,34.77322562792499,8.39856651239737,8
3,48h PDO3,0.2,18.866719643133337,8.388449861881751,6
4,48h PDO3,0.0,4.1482344496499985,4.210806562178056,14
