,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,48h Ctrl,0.0,85.65811297695333,37.00202592628966,15
1,48h Ctrl,1.0,70.91792627007501,38.257281153558054,4
2,48h Ctrl,0.5,202.7540989045375,35.56071290910933,8
3,48h Ctrl,0.8,123.54925696989999,17.631164031443515,3
4,48h Ctrl,0.2,169.2641426103286,75.03419393198072,7
0,48h XAV,0.0,8.110744158075,5.448699837809867,12
1,48h XAV,1.0,51.75755496366667,13.374697742970246,6
2,48h XAV,0.5,79.17129927635713,15.197284527165767,7
3,48h XAV,0.8,73.50886026767999,27.104952559828362,5
4,48h XAV,0.2,36.064023570728565,17.547579645565428,7
