,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,48h TposRpos,1.0,27.652773750612496,11.789438327975217,8
1,48h TposRpos,0.5,141.16702144314002,49.33675988921327,15
2,48h TposRpos,0.2,152.1869833387375,48.560139967860444,16
3,48h TposRpos,0.8,71.08900988308751,35.49367691947092,8
0,48h TnegRpos,0.0,71.355482621675,27.69525080476698,8
1,48h TnegRpos,0.5,143.24767350647693,27.55323777870685,13
2,48h TnegRpos,0.2,119.08039806315999,37.35461621581449,15
3,48h TnegRpos,0.8,112.470847961075,45.45690337220004,8
