,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,48h TposRpos,1.0,27.711947189614285,12.661645827579617,7
1,48h TposRpos,0.5,150.57867805556,60.5077948934707,15
2,48h TposRpos,0.2,181.03659097760772,46.743022093784084,13
3,48h TposRpos,0.8,35.80169321138333,13.274856713205375,6
0,48h TnegRpos,0.0,111.12673357276667,29.090967505874456,6
1,48h TnegRpos,0.5,170.4731045146214,44.22179627042694,14
2,48h TnegRpos,0.2,166.24457680315334,38.5671104262898,15
3,48h TnegRpos,0.8,102.085523837575,36.000385328572044,8
