,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,48h Fgf8,0.0,26.34654297567273,13.380189159947232,11
1,48h Fgf8,1.0,102.01635811172856,25.33222268413602,7
2,48h Fgf8,0.5,174.89284596239997,23.00822550650646,6
3,48h Fgf8,0.8,139.75827020791667,47.994482285329745,6
4,48h Fgf8,0.2,128.27322384558573,22.73625121064927,7
0,48h ActA,0.0,1.0768118206357136,3.1030274375783935,14
1,48h ActA,1.0,44.93280822344285,9.113893212818155,7
2,48h ActA,0.5,23.898470527885713,10.603108095663464,7
3,48h ActA,0.8,56.3818165935875,14.22157074465498,8
4,48h ActA,0.2,14.368930700579995,6.771286291100913,5
