,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,48h Ctrl,0.0,103.34344866040668,29.11127529516667,15
1,48h Ctrl,1.0,84.7765637389125,34.16062280984109,8
2,48h Ctrl,0.5,163.725909156775,42.41246173318647,8
3,48h Ctrl,0.8,136.378264095925,25.650230770032838,8
4,48h Ctrl,0.2,186.57775012235714,51.417765502600915,7
0,48h XAV,0.0,5.053391432893331,4.496777131079987,15
1,48h XAV,1.0,33.730906547687496,10.701623974835904,8
2,48h XAV,0.5,67.38205563681251,24.966539939252627,8
3,48h XAV,0.8,46.41781884267142,10.367046114691439,7
4,48h XAV,0.2,17.883889903625004,7.100461522859893,8
