,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,24h TposRpos,1.0,180.29207145645,41.809333992242074,8
1,24h TposRpos,0.5,158.12089615104668,36.31478231858625,15
2,24h TposRpos,0.2,102.2007922374846,28.976246893869394,13
3,24h TposRpos,0.8,210.48875213605,51.18982558143901,6
0,24h TnegRpos,0.0,19.5535225743,15.725645472319197,6
1,24h TnegRpos,0.5,179.24589982025003,49.608528793258465,14
2,24h TnegRpos,0.2,92.89925217167333,20.014009087407025,15
3,24h TnegRpos,0.8,199.7226239451375,49.662109579190364,8
