,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,24h control,1.0,233.64658513486447,38.54129233021413,8
1,24h control,0.8,229.62176774866342,42.16410483567826,7
2,24h control,0.5,176.88141297018794,53.7858034181304,7
3,24h control,0.2,117.51458711969624,36.03270005282244,7
4,24h control,0.0,30.123961664073256,10.216096409519873,15
0,24h PDO3,1.0,67.69516982994733,19.014653048011805,5
1,24h PDO3,0.8,65.21564199369722,44.40636845223375,6
2,24h PDO3,0.5,35.666066862520914,10.701738478906702,7
3,24h PDO3,0.2,8.910467351316123,6.734883031693392,5
4,24h PDO3,0.0,1.8353214860617686,2.627323870143675,14
