,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,72h Fgf8,0.0,12.005480722618177,11.34710940870019,11
1,72h Fgf8,1.0,-5.527672153071429,2.8620709931685067,7
2,72h Fgf8,0.5,27.15887355738333,13.50210123844217,6
3,72h Fgf8,0.8,1.3428725098428589,3.0302784547451,7
4,72h Fgf8,0.2,61.45901228870001,19.88956587196585,7
0,72h ActA,0.0,-7.42370660267143,2.0465831595534203,14
1,72h ActA,1.0,-7.058407368871428,2.6663666306706126,7
2,72h ActA,0.5,-7.154166683085715,2.4860427752566143,7
3,72h ActA,0.8,-7.888343665424998,2.3658582417133722,8
4,72h ActA,0.2,-8.408981331840005,1.4995809893846241,5
