,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,24h Fgf8,0.0,8.6476358779,2.3752397609498037,10
1,24h Fgf8,1.0,156.99167592260002,29.068021487457653,7
2,24h Fgf8,0.5,85.81910284921668,9.248667367800676,6
3,24h Fgf8,0.8,148.65696716064284,29.164500236141848,7
4,24h Fgf8,0.2,47.893560684185715,9.398702931926344,7
0,24h ActA,0.0,9.760490045146158,3.365428643860245,13
1,24h ActA,1.0,147.96873824915002,35.409261416556,6
2,24h ActA,0.5,89.89824520027143,17.548928503918884,7
3,24h ActA,0.8,155.5356535896125,15.20255549239177,8
4,24h ActA,0.2,62.601305494500004,11.080387118761509,5
