Condition,GFP fraction,Aspect ratio,Aspect ratio SD,Polarization,Num samples
48h control,1.0,1.6285253827388657,0.1346945894772684,-0.16028487298043972,8
48h control,0.8,1.5760498723480134,0.12638332248044892,-0.16217921367346183,6
48h control,0.5,1.3372877552708522,0.14090602542152483,-0.08934603420895657,6
48h control,0.2,1.209626952995367,0.039436832110292364,-0.09918792114636407,7
48h control,0.0,1.2823952482885481,0.15366953609833767,-0.08264358743963672,16
