Condition,GFP fraction,Aspect ratio,Aspect ratio SD,Polarization,Num samples
24h control,1.0,1.056698792378685,0.04199364664399458,-0.03522159503137635,4
24h control,0.8,1.2611193366939875,0.3210046049616513,-0.013591415412566952,3
24h control,0.5,1.112480136864957,0.05328250653202353,-0.055800653544333764,8
24h control,0.2,1.1270503707029498,0.07469521307877795,-0.016658703301657637,7
24h control,0.0,1.167433498848194,0.21128464267174743,-0.0629674950899406,15
