Condition,GFP fraction,Aspect ratio,Aspect ratio SD,Polarization,Num samples
96h control,1.0,,,,8
96h control,0.8,1.191632061248656,0.03738311954954302,0.03595603886661021,6
96h control,0.5,1.3510668542930253,0.14027191424812946,0.08925634770799563,6
96h control,0.2,1.7357087253353822,0.32741721364341836,0.6454817111641473,7
96h control,0.0,1.876290673077336,0.3440460873288855,-3.0840581864729346,16
