Condition,GFP fraction,Aspect ratio,Aspect ratio SD,Polarization,Num samples
96h control,1.0,1.234732928115659,0.15855048934015162,0.013759024136203384,8
96h control,0.8,1.317152719993002,0.20701904372075086,0.03648557768161117,7
96h control,0.5,1.5243243092527956,0.2291541163242031,0.05033617813101131,7
96h control,0.2,1.7754111448251464,0.2555537948686644,0.1277912652134833,6
96h control,0.0,1.6150597786682506,0.29833749365572493,0.11626720188894521,15
