Condition,GFP fraction,Aspect ratio,Polarization,Num samples
48h control,1.0,1.35718902504181,-0.06055264867434907,4
48h control,0.8,1.4929613023205726,-0.12867372816141653,3
48h control,0.5,1.1740662416491792,-0.04493956764932097,8
48h control,0.2,1.1461823397061022,-0.09442587939687454,7
48h control,0.0,1.1027612151059485,-0.072793723070757,15
