Condition,GFP fraction,Aspect ratio,Aspect ratio SD,Polarization,Num samples
72h control,1.0,,,,8
72h control,0.8,1.3683366548092681,0.2692740992918922,-0.33199146131770646,6
72h control,0.5,1.5174959215724313,0.20395088280765775,-0.22835698746338134,6
72h control,0.2,1.5393460904894185,0.23667448494374602,-0.19582524269980267,7
72h control,0.0,1.468725650180362,0.19551934142531643,-0.16841300032879136,16
