Condition,GFP fraction,Aspect ratio,Polarization,Num samples
48h control,1.0,,,8
48h control,0.8,1.4029010907940975,-0.12379119542324304,6
48h control,0.5,1.2332109894424526,-0.06831914748016465,6
48h control,0.2,1.3026605538207556,-0.0825476902919382,7
48h control,0.0,1.2017436942798425,-0.04854349329181178,16
