Condition,GFP fraction,Aspect ratio,Polarization,Num samples
96h control,1.0,1.072186071489453,0.05671131729507787,4
96h control,0.8,1.0842933527198577,0.18013743964612972,3
96h control,0.5,1.4519928445207748,-0.7647397734762231,8
96h control,0.2,1.5643080588307292,-0.47382509028343106,7
96h control,0.0,,,0
