Condition,GFP fraction,Aspect ratio,Polarization,Num samples
24h control,1.0,,,8
24h control,0.8,1.3012379785643051,-0.10910378760047226,6
24h control,0.5,1.186342185271619,-0.10310387768908325,6
24h control,0.2,1.389515901722294,-0.11522840758519877,7
24h control,0.0,1.208524415963513,-0.26494649361009176,16

