Condition,GFP fraction,Aspect ratio,Polarization,Num samples
48h control,1.0,1.262939284321238,-0.08298242122562477,8
48h control,0.8,1.4376070029265362,-0.10884002737621368,6
48h control,0.5,1.328930844059114,-0.09679888410949329,6
48h control,0.2,1.1840119553349513,-0.07400511338810326,7
48h control,0.0,1.2764085807924501,-0.0790409645329395,16
