Condition,GFP fraction,Aspect ratio,Aspect ratio SD,Polarization,Num samples
72h control,1.0,1.186298747611171,0.1576527614471306,0.19313115309935697,8
72h control,0.8,1.6837035045899325,0.32344934825439997,-0.515608394258608,8
72h control,0.5,1.5862535616168256,0.14103889942968603,-0.29436941989954907,7
72h control,0.2,1.518853239836011,0.09537993195842859,-0.2222657659504489,7
72h control,0.0,1.2829709559294105,0.10476463038716474,-0.14863012670931242,15
