,phi2(0),phi2,2*SE
0,0.0,0.3005368305150645,0.06744728247714565
1,0.2,0.25971156994015776,0.08763322849883738
2,0.5,0.08964972957631394,0.02116506094900609
3,0.8,0.023738997078236953,0.014920616520640233
4,1.0,-0.019818738533582812,0.005503300679919816
