,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,48h control,1.0,51.488958265512494,23.57021878187855,8
1,48h control,0.8,98.45959363500002,27.399410158849438,7
2,48h control,0.5,90.75878077079999,17.616185398398542,7
3,48h control,0.2,103.03772982899999,13.654995648330535,7
4,48h control,0.0,88.24771487959333,27.3450586493859,15
0,48h PDO3,1.0,9.788773899619997,3.8178199142528606,5
1,48h PDO3,0.8,11.080290975566674,7.7520872884929535,6
2,48h PDO3,0.5,9.29228141007143,2.6371851922064393,7
3,48h PDO3,0.2,-3.3920736651800096,3.881128347949492,5
4,48h PDO3,0.0,-3.2491044450071422,2.588867854504278,14
