,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,24h control,1.0,,,0
1,24h control,0.8,139.31960120857997,52.65164079131553,5
2,24h control,0.5,137.619596073525,50.18650867035205,4
3,24h control,0.2,28.11932898674285,13.955092872161394,7
4,24h control,0.0,3.2866417290400003,9.144467826065592,15
0,24h PDO3,1.0,,,0
1,24h PDO3,0.8,139.46126838116666,66.3948540040289,6
2,24h PDO3,0.5,104.34428905931428,30.2016565636038,7
3,24h PDO3,0.2,30.327452641414283,27.313295662048635,7
4,24h PDO3,0.0,3.2594794823909115,6.308456792212672,11
