,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,72h control,1.0,,,0
1,72h control,0.8,16.928892522920002,23.512815295980047,5
2,72h control,0.5,33.720252120525,16.486533669562903,4
3,72h control,0.2,159.40103248674285,62.88516959139275,7
4,72h control,0.0,175.54751155946002,63.17032818127618,15
0,72h PDO3,1.0,,,0
1,72h PDO3,0.8,0.20357156661666428,3.0409337611223983,6
2,72h PDO3,0.5,2.535633812514289,3.044476469648127,7
3,72h PDO3,0.2,15.897998920185715,22.168924167492808,7
4,72h PDO3,0.0,8.437725933309093,13.890737430599517,11
