,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,72h control,1.0,-11.424185843625004,2.6108061808446834,8
1,72h control,0.8,-4.821939520833344,2.706090298573081,6
2,72h control,0.5,27.621075193266662,39.421407814453,6
3,72h control,0.2,70.83693570574283,40.090669413173046,7
4,72h control,0.0,97.70917923352499,31.00344693739773,16
0,72h PDO3,1.0,-12.503351167137502,3.4154901478497073,8
1,72h PDO3,0.8,-11.074245954724997,6.143940909794932,8
2,72h PDO3,0.5,-7.397552884337497,3.862470452887135,8
3,72h PDO3,0.2,-1.3379529950000044,5.392762396123586,6
4,72h PDO3,0.0,4.8829910265357155,6.6117695299883685,14
