,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,72h control,1.0,3.255975446349993,3.047642591550016,2
1,72h control,0.8,35.54146954841667,28.67326476793357,6
2,72h control,0.5,17.247603647925004,15.504607845725248,4
3,72h control,0.2,30.85284895220002,0.0,1
4,72h control,0.0,58.59571692796666,20.65457506286527,12
0,72h XAV,1.0,-2.036648050699995,4.301473393148562,3
1,72h XAV,0.8,-2.125093168950002,3.821859599783854,4
2,72h XAV,0.5,3.6880893341499976,2.704538292526161,6
3,72h XAV,0.2,-1.133714980149989,1.096267290849994,2
4,72h XAV,0.0,-3.054784475750008,1.658006075937476,8
