,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,72h control,1.0,-8.110038017075002,6.788947476021866,8
1,72h control,0.8,21.87728923637142,10.0530086624899,7
2,72h control,0.5,36.74775485711429,14.576876285175207,7
3,72h control,0.2,35.13620205392857,22.06143716013093,7
4,72h control,0.0,37.70446314281333,17.388712752699703,15
0,72h PDO3,1.0,1.1873792594399901,2.741333136934504,5
1,72h PDO3,0.8,-2.169407431600007,3.284360270341718,6
2,72h PDO3,0.5,-4.91874586325715,2.263119963668111,7
3,72h PDO3,0.2,-11.338534325040001,1.451363831789345,5
4,72h PDO3,0.0,-8.232570378257146,1.7166202639202568,14
