,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,48h control,1.0,,,0
1,48h control,0.8,77.08122295343999,68.40817583594772,5
2,48h control,0.5,119.1950222186,44.54633473039938,4
3,48h control,0.2,163.88509528307142,27.07189175840318,7
4,48h control,0.0,57.19459863243333,38.90557105079741,15
0,48h PDO3,1.0,,,0
1,48h PDO3,0.8,28.138984910383332,23.919650373670045,6
2,48h PDO3,0.5,25.957650524299996,5.298466694468798,7
3,48h PDO3,0.2,30.591096333614292,19.408814936884315,7
4,48h PDO3,0.0,1.528174135072729,5.732329128464632,11
