,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,72h control,1.0,0.9773134550333301,3.3867570805923237,3
1,72h control,0.8,-1.099279805825006,3.2035175817657064,4
2,72h control,0.5,-4.554730421399995,0.0,1
3,72h control,0.2,67.24962569020002,23.32751482515299,4
4,72h control,0.0,55.73871142582,13.446726918612656,5
0,72h PDO3,1.0,4.0788551135999995,3.2652023120266382,4
1,72h PDO3,0.8,-0.41714892320000274,4.015920385000001,2
2,72h PDO3,0.5,6.658950122420004,4.613738461501905,5
3,72h PDO3,0.2,9.191295673916665,5.977431391367705,6
4,72h PDO3,0.0,23.658050594900004,12.14671900882397,6
