,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,48h control,1.0,30.5674474744,11.835934124486288,3
1,48h control,0.8,73.5369871245,29.262079979713988,4
2,48h control,0.5,108.13010445719999,0.0,1
3,48h control,0.2,294.59126697905003,17.9312961244903,4
4,48h control,0.0,264.42617746694,63.04066144374569,5
0,48h PDO3,1.0,39.818959793475,6.117600100349235,4
1,48h PDO3,0.8,50.89990157029999,8.156528980699989,2
2,48h PDO3,0.5,52.26360004242,28.869546939387522,5
3,48h PDO3,0.2,73.53286055748332,12.358342140828036,6
4,48h PDO3,0.0,79.16117409111668,33.823024349852936,6
