,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,24h control,1.0,189.103534379125,41.62534506514859,8
1,24h control,0.8,218.8192852015833,37.497217257154844,6
2,24h control,0.5,139.50887160145,29.639048974805682,6
3,24h control,0.2,92.0600954345143,30.55023093293822,7
4,24h control,0.0,9.719502951468753,10.040436667371765,16
0,24h PDO3,1.0,240.234043925425,48.88652085583809,8
1,24h PDO3,0.8,253.790346065925,35.62988116745991,8
2,24h PDO3,0.5,165.83972823478751,23.605190291364323,8
3,24h PDO3,0.2,66.48235811038332,63.519567717136574,6
4,24h PDO3,0.0,9.515297958014285,8.08506748537748,14
