Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
48h Ctrl,0.0,103.34344866040668,29.11127529516667,15
48h Ctrl,1.0,84.7765637389125,34.16062280984109,8
48h Ctrl,0.5,163.725909156775,42.41246173318647,8
48h Ctrl,0.8,136.378264095925,25.650230770032838,8
48h Ctrl,0.2,186.57775012235714,51.417765502600915,7
48h SB43,0.0,0.8417182993533326,2.404955106108977,15
48h SB43,1.0,44.759344398325,17.199955793709567,8
48h SB43,0.5,24.2641445504375,5.052595860669522,8
48h SB43,0.8,34.958857137150005,13.567372072306577,8
48h SB43,0.2,9.411343847749999,6.330811757383935,6
48h XAV,0.0,5.053391432893331,4.496777131079987,15
48h XAV,1.0,33.730906547687496,10.701623974835904,8
48h XAV,0.5,67.38205563681251,24.966539939252627,8
48h XAV,0.8,46.41781884267142,10.367046114691439,7
48h XAV,0.2,17.883889903625004,7.100461522859893,8

