Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
24h Ctrl,0.0,19.153411680733335,6.630445735937503,15
24h Ctrl,1.0,255.61358887005,60.63356265802963,4
24h Ctrl,0.5,179.51559487778752,17.33163500301662,8
24h Ctrl,0.8,258.8740851965334,59.64050158706338,3
24h Ctrl,0.2,102.30353571504286,16.32601738829352,7
24h SB43,0.0,14.094207741536367,3.8202035584815155,11
24h SB43,1.0,287.55701761914287,24.4578213619817,7
24h SB43,0.5,180.97211263282,23.301240645072582,5
24h SB43,0.8,283.2632022943375,35.13587806862289,8
24h SB43,0.2,88.50062715001667,25.868132092882956,6
24h XAV,0.0,16.805908287791663,4.637439513692685,12
24h XAV,1.0,317.83028344405005,52.03472219770797,6
24h XAV,0.5,198.1405125830857,30.617273035224063,7
24h XAV,0.8,302.81702276299995,90.51438248467987,5
24h XAV,0.2,107.09695810757144,25.738900584085002,7

