,Time (h),Sin2theta_mean,Sin2theta_std
0,0.0,2.334540244156321e-16,0.0
1,0.1695402298850575,0.062161675239671164,0.05450564781570607
2,0.339080459770115,0.10926697293678338,0.05544006588280809
3,0.5086206896551725,0.18507126718962572,0.05052725441873732
4,0.67816091954023,0.2246046378108208,0.11269797990116148
5,0.8477011494252874,0.23001753731487587,0.11456354864012659
6,1.017241379310345,0.29292905972603617,0.12010475641328143
7,1.1867816091954024,0.33860462474126607,0.06747153469210813
8,1.35632183908046,0.3727800588605198,0.12345382076507988
9,1.5258620689655173,0.4218108800136049,0.10034294919457135
10,1.6954022988505748,0.528302755174664,0.11057857796847474
11,1.8649425287356323,0.5242557458305342,0.10883195428296454
12,2.03448275862069,0.5621914245807471,0.12768103258079652
13,2.204022988505747,0.5610506846939772,0.13432349644296565
14,2.373563218390805,0.6071872744341096,0.14485996516492486
15,2.543103448275862,0.5948378163914096,0.18610969236436484
16,2.71264367816092,0.6696511250944717,0.12372743767970396
17,2.8821839080459775,0.6514187126978016,0.13739114344692202
18,3.0517241379310347,0.690214968340655,0.1234292870986516
19,3.2212643678160924,0.69122215685935,0.11237702248536705
20,3.3908045977011496,0.6843887268373259,0.10901135321871706
21,3.5603448275862073,0.7313177268286901,0.10653711836554121
22,3.7298850574712645,0.740810894586633,0.09704687028255346
23,3.899425287356322,0.7589838601320993,0.12228806805590145
24,4.06896551724138,0.7875513290111785,0.12586124147453143
25,4.238505747126437,0.7893395332537675,0.10703199527998312
26,4.408045977011494,0.8218004246091023,0.10645171642262796
27,4.5775862068965525,0.8050765936846792,0.09535744073891114
28,4.74712643678161,0.816351648357191,0.09967926479717008
29,4.916666666666667,0.8508891078953625,0.07431735474878011
30,5.086206896551724,0.8516256208768594,0.07116202445130741
31,5.255747126436782,0.8509673019190499,0.07551876244171404
32,5.42528735632184,0.8605127060882467,0.07616202276273096
33,5.594827586206897,0.8703803875058808,0.06291727333603292
34,5.764367816091955,0.8711753615052172,0.06437950353724432
35,5.933908045977012,0.8897738087027997,0.05849509887188281
36,6.103448275862069,0.8814745768828365,0.07494753664034476
37,6.272988505747127,0.8779332700978412,0.05893452791263311
38,6.442528735632185,0.9053004469706744,0.05271130373571424
39,6.612068965517242,0.9037309386983345,0.05166453458072781
40,6.781609195402299,0.9006889028367191,0.04764980928192006
41,6.951149425287357,0.9192228702264587,0.04726195905626014
42,7.120689655172415,0.9163355437934827,0.0473598041999045
43,7.290229885057472,0.9278546524722876,0.05098341420560351
44,7.459770114942529,0.920836049001459,0.05025142307087702
45,7.629310344827587,0.9376048789270658,0.041369847214850965
46,7.798850574712644,0.9529558852826915,0.04158831881065296
47,7.968390804597702,0.938417443709528,0.0425160241622352
48,8.13793103448276,0.9599748381733273,0.03250059590424454
49,8.307471264367816,0.9526423362425441,0.04036830816028514
50,8.477011494252874,0.9456783930306962,0.04775833874296422
51,8.646551724137932,0.9557920873932789,0.04160093500964543
52,8.816091954022989,0.9522485095114014,0.03564507457195818
53,8.985632183908047,0.9556604685675639,0.040496292123796546
54,9.155172413793105,0.9493857488650734,0.0353123555264873
55,9.324712643678161,0.9445061735714221,0.03971973213744787
56,9.49425287356322,0.9537423876622021,0.036919187063084606
57,9.663793103448278,0.9373630060236772,0.04361999780667193
58,9.833333333333334,0.9343867575955243,0.030419720790954074
