,Condition,lEC (um),err_lEC (um),vc (um/min),err_vc (um/min),radius (um),radius std (um),nsamples,tau (h),beta
0,Tminus,27.190315999454377,0.9713270787906807,0.1036535262855616,0.004104479849211313,80.63712387327008,6.925673213387768,11,12.96581132080315,2.965656003221449
1,Tplus,134.36760138777777,9.482523669619276,0.1262449163286216,0.003663330252973118,88.79617446278068,6.005627083329061,7,11.72273929188562,0.6608451259505603
