Condition,Eeff (Pa),Eeff SD (Pa)
24h,132.85673238040005,69.6138773176768
48h,112.94694982785715,58.04223961362083
Tminus,157.52602169090906,73.08853872527058
Tplus,100.9346672338095,34.35851241725949
